Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 248, 344, 1, 'm', 'struct'
 2861, 5304, 1, 'm', 'pyimod01_archive'
 14026, 34022, 1, 'm', 'pyimod02_importers'
 2863, 7035, 1, 'm', 'pyimod03_ctypes'
 1070, 1838, 1, 's', 'pyiboot01_bootstrap'
 1563, 3065, 1, 's', 'pyi_rth_inspect'
 980, 1671, 1, 's', 'pyi_rth_pkgutil'
 1146, 2040, 1, 's', 'pyi_rth_multiprocessing'
 1543, 2576, 1, 's', 'main'
 411736, 1444808, 1, 'b', 'base_library.zip'
 392674, 1478096, 1, 'b', 'greenlet/_greenlet.cpython-311-aarch64-linux-gnu.so'
 122985, 306800, 1, 'b', 'lib-dynload/_asyncio.cpython-311-aarch64-linux-gnu.so'
 21278, 107168, 1, 'b', 'lib-dynload/_bisect.cpython-311-aarch64-linux-gnu.so'
 80681, 244584, 1, 'b', 'lib-dynload/_blake2.cpython-311-aarch64-linux-gnu.so'
 31972, 122040, 1, 'b', 'lib-dynload/_bz2.cpython-311-aarch64-linux-gnu.so'
 116540, 229800, 1, 'b', 'lib-dynload/_codecs_cn.cpython-311-aarch64-linux-gnu.so'
 48897, 227200, 1, 'b', 'lib-dynload/_codecs_hk.cpython-311-aarch64-linux-gnu.so'
 34851, 127840, 1, 'b', 'lib-dynload/_codecs_iso2022.cpython-311-aarch64-linux-gnu.so'
 114787, 308280, 1, 'b', 'lib-dynload/_codecs_jp.cpython-311-aarch64-linux-gnu.so'
 89582, 227280, 1, 'b', 'lib-dynload/_codecs_kr.cpython-311-aarch64-linux-gnu.so'
 73972, 155400, 1, 'b', 'lib-dynload/_codecs_tw.cpython-311-aarch64-linux-gnu.so'
 7215, 79328, 1, 'b', 'lib-dynload/_contextvars.cpython-311-aarch64-linux-gnu.so'
 53457, 159464, 1, 'b', 'lib-dynload/_csv.cpython-311-aarch64-linux-gnu.so'
 261824, 623792, 1, 'b', 'lib-dynload/_ctypes.cpython-311-aarch64-linux-gnu.so'
 226079, 573472, 1, 'b', 'lib-dynload/_datetime.cpython-311-aarch64-linux-gnu.so'
 691533, 1933480, 1, 'b', 'lib-dynload/_decimal.cpython-311-aarch64-linux-gnu.so'
 72646, 199000, 1, 'b', 'lib-dynload/_hashlib.cpython-311-aarch64-linux-gnu.so'
 25750, 110360, 1, 'b', 'lib-dynload/_heapq.cpython-311-aarch64-linux-gnu.so'
 91647, 236224, 1, 'b', 'lib-dynload/_json.cpython-311-aarch64-linux-gnu.so'
 54235, 158984, 1, 'b', 'lib-dynload/_lzma.cpython-311-aarch64-linux-gnu.so'
 22020, 100936, 1, 'b', 'lib-dynload/_md5.cpython-311-aarch64-linux-gnu.so'
 68518, 195080, 1, 'b', 'lib-dynload/_multibytecodec.cpython-311-aarch64-linux-gnu.so'
 27444, 115608, 1, 'b', 'lib-dynload/_multiprocessing.cpython-311-aarch64-linux-gnu.so'
 10205, 83648, 1, 'b', 'lib-dynload/_opcode.cpython-311-aarch64-linux-gnu.so'
 231589, 573424, 1, 'b', 'lib-dynload/_pickle.cpython-311-aarch64-linux-gnu.so'
 14075, 90136, 1, 'b', 'lib-dynload/_posixshmem.cpython-311-aarch64-linux-gnu.so'
 34601, 131808, 1, 'b', 'lib-dynload/_posixsubprocess.cpython-311-aarch64-linux-gnu.so'
 23565, 107088, 1, 'b', 'lib-dynload/_queue.cpython-311-aarch64-linux-gnu.so'
 22583, 103184, 1, 'b', 'lib-dynload/_random.cpython-311-aarch64-linux-gnu.so'
 22884, 105696, 1, 'b', 'lib-dynload/_sha1.cpython-311-aarch64-linux-gnu.so'
 26290, 118816, 1, 'b', 'lib-dynload/_sha256.cpython-311-aarch64-linux-gnu.so'
 28902, 116104, 1, 'b', 'lib-dynload/_sha3.cpython-311-aarch64-linux-gnu.so'
 29302, 118096, 1, 'b', 'lib-dynload/_sha512.cpython-311-aarch64-linux-gnu.so'
 134782, 355568, 1, 'b', 'lib-dynload/_socket.cpython-311-aarch64-linux-gnu.so'
 207956, 554504, 1, 'b', 'lib-dynload/_ssl.cpython-311-aarch64-linux-gnu.so'
 10511, 83744, 1, 'b', 'lib-dynload/_statistics.cpython-311-aarch64-linux-gnu.so'
 72543, 201832, 1, 'b', 'lib-dynload/_struct.cpython-311-aarch64-linux-gnu.so'
 6752, 78392, 1, 'b', 'lib-dynload/_typing.cpython-311-aarch64-linux-gnu.so'
 7202, 78968, 1, 'b', 'lib-dynload/_uuid.cpython-311-aarch64-linux-gnu.so'
 93564, 232352, 1, 'b', 'lib-dynload/array.cpython-311-aarch64-linux-gnu.so'
 56468, 164816, 1, 'b', 'lib-dynload/binascii.cpython-311-aarch64-linux-gnu.so'
 20980, 99120, 1, 'b', 'lib-dynload/fcntl.cpython-311-aarch64-linux-gnu.so'
 23044, 105272, 1, 'b', 'lib-dynload/grp.cpython-311-aarch64-linux-gnu.so'
 123917, 290864, 1, 'b', 'lib-dynload/math.cpython-311-aarch64-linux-gnu.so'
 36569, 126608, 1, 'b', 'lib-dynload/mmap.cpython-311-aarch64-linux-gnu.so'
 329135, 862736, 1, 'b', 'lib-dynload/pyexpat.cpython-311-aarch64-linux-gnu.so'
 20059, 100888, 1, 'b', 'lib-dynload/resource.cpython-311-aarch64-linux-gnu.so'
 45565, 143344, 1, 'b', 'lib-dynload/select.cpython-311-aarch64-linux-gnu.so'
 27503, 111352, 1, 'b', 'lib-dynload/termios.cpython-311-aarch64-linux-gnu.so'
 454699, 1302600, 1, 'b', 'lib-dynload/unicodedata.cpython-311-aarch64-linux-gnu.so'
 71918, 200184, 1, 'b', 'lib-dynload/zlib.cpython-311-aarch64-linux-gnu.so'
 16545, 198752, 1, 'b', 'lib/libGLESv2.so.2'
 16545, 198752, 1, 'b', 'lib/libGLESv2.so.2.1.0'
 757782, 1329712, 1, 'b', 'lib/libX11.so.6'
 4675, 14416, 1, 'b', 'lib/libXau.so.6'
 3491, 14264, 1, 'b', 'lib/libXcomposite.so.1'
 3902, 67536, 1, 'b', 'lib/libXdamage.so.1'
 7656, 22576, 1, 'b', 'lib/libXdmcp.so.6'
 27283, 134696, 1, 'b', 'lib/libXext.so.6'
 8474, 67640, 1, 'b', 'lib/libXfixes.so.3'
 28713, 67888, 1, 'b', 'lib/libXi.so.6'
 16743, 43200, 1, 'b', 'lib/libXrandr.so.2'
 16953, 43408, 1, 'b', 'lib/libXrender.so.1'
 418790, 1116648, 1, 'b', 'lib/libasound.so.2'
 51986, 198584, 1, 'b', 'lib/libatk-1.0.so.0'
 85015, 264344, 1, 'b', 'lib/libatspi.so.0'
 159544, 396248, 1, 'b', 'lib/libblkid.so.1'
 37666, 133944, 1, 'b', 'lib/libbsd.so.0'
 767090, 1651408, 1, 'b', 'lib/libc.so.6'
 19250, 67704, 1, 'b', 'lib/libcap.so.2'
 145847, 395336, 1, 'b', 'lib/libdbus-1.so.3'
 1652, 67528, 1, 'b', 'lib/libdl.so.2'
 37436, 133896, 1, 'b', 'lib/libdrm.so.2'
 62965, 198712, 1, 'b', 'lib/libexpat.so.1'
 17337, 68000, 1, 'b', 'lib/libffi.so.8'
 3524, 67584, 1, 'b', 'lib/libfreebl3.so'
