Options in 'main-linux-arm64' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64' (PKG/CArchive):
 position, length, uncompressed_length, is_compressed, typecode, name
 0, 248, 344, 1, 'm', 'struct'
 248, 2861, 5304, 1, 'm', 'pyimod01_archive'
 3109, 14024, 34022, 1, 'm', 'pyimod02_importers'
 17133, 2863, 7035, 1, 'm', 'pyimod03_ctypes'
 19996, 1070, 1838, 1, 's', 'pyiboot01_bootstrap'
 21066, 1563, 3065, 1, 's', 'pyi_rth_inspect'
 22629, 980, 1671, 1, 's', 'pyi_rth_pkgutil'
 23609, 1146, 2040, 1, 's', 'pyi_rth_multiprocessing'
 24755, 1155, 1980, 1, 's', 'main'
 25910, 392674, 1478096, 1, 'b', 'greenlet/_greenlet.cpython-311-aarch64-linux-gnu.so'
 418584, 24367, 74056, 1, 'b', 'lib-dynload/_asyncio.cpython-311-aarch64-linux-gnu.so'
 442951, 8736, 68688, 1, 'b', 'lib-dynload/_bz2.cpython-311-aarch64-linux-gnu.so'
 451687, 101568, 198888, 1, 'b', 'lib-dynload/_codecs_cn.cpython-311-aarch64-linux-gnu.so'
 553255, 35637, 198920, 1, 'b', 'lib-dynload/_codecs_hk.cpython-311-aarch64-linux-gnu.so'
 588892, 8893, 67832, 1, 'b', 'lib-dynload/_codecs_iso2022.cpython-311-aarch64-linux-gnu.so'
 597785, 95187, 264432, 1, 'b', 'lib-dynload/_codecs_jp.cpython-311-aarch64-linux-gnu.so'
 692972, 78542, 198888, 1, 'b', 'lib-dynload/_codecs_kr.cpython-311-aarch64-linux-gnu.so'
 771514, 63191, 133352, 1, 'b', 'lib-dynload/_codecs_tw.cpython-311-aarch64-linux-gnu.so'
 834705, 1807, 67512, 1, 'b', 'lib-dynload/_contextvars.cpython-311-aarch64-linux-gnu.so'
 836512, 53989, 147464, 1, 'b', 'lib-dynload/_ctypes.cpython-311-aarch64-linux-gnu.so'
 890501, 131541, 339456, 1, 'b', 'lib-dynload/_decimal.cpython-311-aarch64-linux-gnu.so'
 1022042, 19134, 71640, 1, 'b', 'lib-dynload/_hashlib.cpython-311-aarch64-linux-gnu.so'
